Item Description,Item #,Inv Date,UOM ,Qty ,Sum of extprice,
,,08-Sep-15,EACH,1,$6.68,CA
,,21-Sep-15,CS,1,$17.56,CA
,,21-Sep-15,EACH,1,$6.64,CA
,,01-Sep-15,EACH,2,$13.30,CA
,,15-Sep-15,EACH,6,$40.08,CA
,,23-Sep-15,EACH,1,$6.64,CA
,,29-Sep-15,CS,1,$17.10,CA
,,29-Sep-15,EACH,2,$13.06,CA
,,22-Sep-15,EACH,2,$13.28,CA
CARROTS MATCHSTICK SHRED 4/5 LB Total,,,,32,$278.07,
CELERY SLEEVED 30/36 CT,2660,10-Sep-15,CS,1,$25.73,CA
,,17-Sep-15,EACH,3,$9.66,CA
,,03-Sep-15,EACH,2,$6.50,CA
,,23-Sep-15,EACH,1,$3.23,CA
,,22-Sep-15,EACH,1,$3.23,CA
CELERY SLEEVED 30/36 CT Total,,,,8,$48.35,
CELERY STICKS 4/5 LB,6110,10-Sep-15,EACH,1,$10.56,CA
,,24-Sep-15,CS,1,$33.25,CA
,,28-Sep-15,CS,3,$78.15,CA
,,28-Sep-15,EACH,1,$8.76,CA
,,03-Sep-15,EACH,5,$44.45,CA
,,08-Sep-15,CS,5,$166.25,CA
,,08-Sep-15,EACH,1,$10.56,CA
,,21-Sep-15,CS,1,$33.25,CA
,,01-Sep-15,EACH,1,$8.89,CA
,,15-Sep-15,CS,1,$26.66,CA
,,23-Sep-15,CS,1,$33.25,CA
,,29-Sep-15,CS,1,$26.05,CA
,,22-Sep-15,CS,1,$33.25,CA
,,22-Sep-15,EACH,1,$10.56,CA
CELERY STICKS 4/5 LB Total,,,,24,$523.89,
CILANTRO 30 CT USA,5240,10-Sep-15,3 EA,1,$6.03,CA
,,24-Sep-15,3 EA,4,$24.12,CA
,,03-Sep-15,3 EA,2,$12.06,CA
,,08-Sep-15,3 EA,2,$12.06,CA
,,01-Sep-15,3 EA,3,$18.09,CA
,,15-Sep-15,3 EA,2,$7.50,CA
,,29-Sep-15,3 EA,1,$4.48,CA
CILANTRO 30 CT USA Total,,,,15,$84.34,
CUCUMBER HOT HOUSE 12 CT,2690,10-Sep-15,CS,2,$26.40,CA
,,17-Sep-15,CS,1,$11.95,CA
,,24-Sep-15,CS,2,$29.90,CA
,,28-Sep-15,CS,1,$14.88,CA
,,03-Sep-15,CS,2,$25.40,CA
